X1,lon,lat,dist.next,year_arr,year_dep,spring.med,spring.mean,spring.tot,real.arr,arr,real.dep,dep,dur,FstQu.lon,FstQu.lat,TrdQu.lon,TrdQu.lat,jul.last.wint,jul.last.stop,jul.arr.last.stop,tag,,species,deploy_loc,month,south,north,breed_label,tag_deployed,tag_length,tag_label,is.start,is.end,first.south,last.south,first.north,last.north,,,winter,winter.longstops,pop.summer,pop.winter,first.winter,last.winter,first.winter.longstops,last.winter.longstops,winter.discretion,,
111,-79.97793,72.893714,2999.678282,2011,2011,,,,2011-06-01 1:01,2010-06-01 1:01,2011-06-01 1:02,2010-06-01 1:02,0,-79.97793,72.893714,-79.97793,72.893714,,,,amgp_144,,amgp,bylo,6,TRUE,FALSE,breed,breed,year,NA,,,,,,,60.95164901,,,,,,,,,,,,
3,-55.95505618,48.15,8056.086844,2011,2011,,,,2011-09-04 8:57,2011-09-04 8:57,2011-09-06 8:40,2011-09-06 8:40,2,-55.83941606,46.8,-57.16446125,48.6,,,,amgp_144,,amgp,bylo,9,TRUE,FALSE,NA,breed,year,NA,,,,,,,2999.678282,,,,,,,,,,,,
4,-55.80246914,-24.3,706.1133777,2011,2011,,,,2011-09-09 9:21,2011-09-09 9:21,2011-10-05 8:58,2011-10-05 8:58,26,-55.68521031,-25.65,-55.9223301,-22.95,,,,amgp_144,,amgp,bylo,9,TRUE,FALSE,NA,breed,year,NA,,,,,,,8056.086844,,,,,,,,,,,,
6,-54.9033796,-30.6,305.5999103,2011,2012,,,,2011-10-07 8:53,2011-10-07 8:53,2012-01-10 23:17,2012-01-10 23:17,96,-54.64060588,-31.05,-55.02077485,-30.375,,,,amgp_144,,amgp,bylo,10,TRUE,FALSE,NA,breed,year,NA,,,,,,,706.1133777,,T,,,,T,,T,,,,
7,-56.75912409,-32.85,3241.338638,2012,2012,,,,2012-01-13 8:22,2012-01-13 8:22,2012-02-09 8:55,2012-02-09 8:55,27,-55.7593985,-33.75,-56.78571429,-32.4,40,,,amgp_144,,amgp,bylo,1,TRUE,TRUE,NA,breed,year,NA,,,,,,,305.5999103,,T,,,,,T,,,,,
8,-70.73047859,-6.75,3680.710547,2012,2012,,,,2012-02-09 23:24,2012-02-09 23:24,2012-03-13 23:25,2012-03-13 23:25,33,-70.55276382,-8.1,-70.90909091,-5.4,,,,amgp_144,,amgp,bylo,2,FALSE,TRUE,NA,breed,year,NA,,,,,,,3241.338638,,,T,,,,,,T,,,
10,-92.49011858,18.45,1794.296517,2012,2012,,,,2012-03-14 10:52,2012-03-14 10:52,2012-03-21 11:53,2012-03-21 11:53,7,-92.33160622,15.3,-92.49011858,30.15,,,,amgp_144,,amgp,bylo,3,FALSE,TRUE,NA,breed,year,NA,,,,,,,3680.710547,,,,,,,,,,,,
12,-89.93233083,34.425,628.0933261,2012,2012,,,,2012-03-22 0:26,2012-03-22 0:26,2012-05-06 1:20,2012-05-06 1:20,45,-89.86466165,33.75,-90.22265341,36.45,,,,amgp_144,,amgp,bylo,3,FALSE,TRUE,NA,breed,year,NA,,,,,,,1794.296517,,,,,,,,,,,,
13,-90.58064516,40.05,642.4200972,2012,2012,,,,2012-05-06 10:22,2012-05-06 10:22,2012-05-08 10:34,2012-05-08 10:34,2,-90.58064516,39.15,-91.17647059,41.85,,,,amgp_144,,amgp,bylo,5,FALSE,TRUE,NA,breed,year,NA,,,,,,,628.0933261,,,,,,,,,,,,
14,-97.85234899,41.85,661.9729415,2012,2012,,,,2012-05-09 2:05,2012-05-09 2:05,2012-05-17 10:47,2012-05-17 10:47,8,-97.85234899,41.85,-97.85234899,42.3,,,,amgp_144,,amgp,bylo,5,FALSE,TRUE,NA,breed,year,NA,,,,,,,642.4200972,,,,,,,,,,,,
